id,season,city,date,team1,team2,toss_winner,day_night,toss_decision,result,dl_applied,winner,team1_score,team2_score,team1_wicket_fall,team2_wicket_fall,team1_overs_play,team2_overs_play,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,country
1359537,2023,Lucknow,2023/05/16,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Night,field,normal,0,Lucknow Super Giants,177,172,3,5,20/20,20/20,5,0,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,A Nand Kishore,CB Gaffaney,India
1359536,2023,Ahmedabad,2023/05/15,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Night,field,normal,0,Gujarat Titans,188,154,9,9,20/20,20/20,34,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",J Madanagopal,UV Gandhe,A Totre,India
1359534,2023,Jaipur,2023/05/14,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Day/Night,bat,normal,0,Royal Challengers Bangalore,171,59,5,10,20/20,10.3/20,112,0,WD Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,RJ Tucker,India
1359535,2023,Chennai,2023/05/14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Night,bat,normal,0,Kolkata Knight Riders,144,147,6,4,20/20,18.3/20,0,6,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,India
1359533,2023,Delhi,2023/05/13,Punjab Kings,Delhi Capitals,Delhi Capitals,Night,field,normal,0,Punjab Kings,167,136,7,8,20/20,20/20,31,0,P Simran Singh,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan,GR Sadashiv Iyer,India
1359532,2023,Hyderabad,2023/05/13,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Day/Night,bat,normal,0,Lucknow Super Giants,182,185,6,3,20/20,19.2/20,0,7,PN Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",A Totre,J Madanagopal,YC Barde,India
1359531,2023,Mumbai,2023/05/12,Mumbai Indians,Gujarat Titans,Gujarat Titans,Night,field,normal,0,Mumbai Indians,218,191,5,8,20/20,20/20,27,0,SA Yadav,"Wankhede Stadium, Mumbai",Nitin Menon,Tapan Sharma,Vinod Seshan,India
1359530,2023,Kolkata,2023/05/11,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Night,field,normal,0,Rajasthan Royals,149,151,8,1,20/20,13.1/20,0,9,YBK Jaiswal,"Eden Gardens, Kolkata",RJ Tucker,MV Saidharshan Kumar,R Pandit,India
1359529,2023,Chennai,2023/05/10,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Night,bat,normal,0,Chennai Super Kings,167,140,8,8,20/20,20/20,27,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",CB Gaffaney,NA Patwardhan,AK Chaudhary,India
1359528,2023,Mumbai,2023/05/09,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Night,field,normal,0,Mumbai Indians,199,200,6,4,20/20,16.3/20,0,6,SA Yadav,"Wankhede Stadium, Mumbai",HAS Khalid,VK Sharma,Nitin Menon,India
